event_id,entry_id,year,event_type,victim,victim_father,victim_grandfather,victim_lineage,killer,killer_descriptor,kinship_phrase,event_place,event_circumstance,battle_label,raw_clause,attribution,victim_coref_from
U600.1_c0_e0,U600.1,600,repose,St Cainnech,,,St Cainnech,,,,,,,"Repose of St Cainnech,",primary,
U600.1_c1_e0,U600.1,600,battle,,,,,,,,,which Aedán was vanquished,,and the battle of the Saxons in which Aedán was vanquished,primary,
U600.2_c0_e0,U600.2,600,slaying,Suibne,Colmán Mór,Diarmait Derg,Suibne | Colmán Mór | Diarmait Derg | Fergus Cerrbél | Conall of Cremthann | Niall Naígiallach,Aed Sláine,Aed Sláine,,Brí Dam in the Suaine,,,"The slaying of Suibne son of Colmán Mór son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Aed Sláine in Brí Dam in the Suaine, i.e. a stream",primary,
U601.2_c0_e0,U601.2,601,death,Brénainn,Cairpre,Feichéne,Brénainn | Cairpre | Feichéne,,,,,,,Death of Brénainn son of Cairpre son of Feichéne,primary,
U601.3_c1_e0,U601.3,601,battle,,,,,,,,,,,The battle of Slemain,primary,
U601.3_c2_e0,U601.3,601,battle,,,,,,,,,,,and the battle of Cúil Caíl,primary,
U601.3_c3_e0,U601.3,601,repose,Comgall,,,Comgall,,,,,,,"and the repose of Comgall,",primary,
U601.3_c4_e0,U601.3,601,death,Uatu,Aed,,Uatu | Aed,,,,,,,and the death of Uatu son of Aed happened this year,primary,
U601.4_c0_e0,U601.4,601,repose,Colum Cille,,,Colum Cille,,,,,,,"Or this year, the repose of Colum Cille on Sunday night",primary,
U602.1_c0_e0,U602.1,602,repose,Comgall of Bennchor,,,Comgall of Bennchor,,,,,,,Repose of Comgall of Bennchor,primary,
U602.2_c0_e0,U602.2,602,battle,,,,,flight,flight,,,which Colmán Rímid,,"The battle of Slemain in which Colmán Rímid, king of Cenél nÉogain, was victor, and Conall Cú, son of Aed son of Ainmire, took flight or escaped by flight",primary,
U602.3_c0_e0,U602.3,602,battle,,,,,,,,,which Fiachna son of Demán took flight,,The battle of Cúil Caíl in which Fiachna son of Demán took flight,primary,
U602.4_c0_e0,U602.4,602,death,Uatu,Aed,,Uatu | Aed,,,,,,,Death of Uatu son of Aed,primary,
U602.5_c0_e0,U602.5,602,battle,,,,,,,,,,,The battle of Echros,primary,
U603.1_c0_e0,U603.1,603,repose,Finntan moccu Echdach,,,Finntan moccu Echdach,,,,,,,Repose of Finntan moccu Echdach,primary,
U603.2_c0_e0,U603.2,603,battle,,,,,,,,Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce,,,The battle of Echros in Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce,primary,
U603.5_c0_e0,U603.5,603,battle,,,,,,,,Mumu,,,The battle of Sliab Cua in Mumu,primary,
U604.1_c0_e0,U604.1,604,slaying,Colmán Rímid,Baetán Bríge,Muirchertach Mac Erca,Colmán Rímid | Baetán Bríge | Muirchertach Mac Erca,Lochán Dilmana,a man of his own kindred,a man of his own kindred,,,,The slaying of Colmán Rímid son of Baetán Bríge son of Muirchertach Mac Erca by a man of his own kindred i.e. by one of his kindred called Lochán Dilmana,primary,
U604.2_c0_e0,U604.2,604,slaying,Aed Sláine,Diarmait Derg,Fergus Cerrbél,Aed Sláine | Diarmait Derg | Fergus Cerrbél | Conall of Cremthann | Niall Naígiallach,Conall son of Suibne,Conall son of Suibne,,,,,The slaying of Aed Sláine son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Conall son of Suibne,primary,
U604.3_c0_e0,U604.3,604,slaying,Aed Rón,,,Aed Rón,,,,Faithche Meic Meccnaen on the brink of Loch Semdid,,,"The slaying of Aed Rón, king of Uí Failge, in Faithche Meic Meccnaen on the brink of Loch Semdid on the same day on which Áed Sláine was slain",primary,
U604.3_c1_e0,U604.3,604,slaying,Aed Rón,,,,,,,,,,"Aed Gustan, foster-brother of Conall, and Baethgal Bile, killed him",primary,previous_victim
U604.5_c0_e0,U604.5,604,death,Conall Cú,,,Conall Cú,,,,,,,"Death of Conall Cú, son of Áed son of Ainmire",primary,
U605.1_c0_e0,U605.1,605,battle,,,,,,,,,which Brandub son of Eochu was vanquished,,The battle of Slaebre in which Brandub son of Eochu was vanquished,primary,
U605.2_c0_e0,U605.2,605,slaying,Brandub,Eochu,Muiredach,Brandub | Eochu | Muiredach | Aed | Feidlim | Énna Cennselach | Labraid | Bresal Bélach | Fiachu ba Aiccid | Cathaír Mór,his own kindred,his own kindred,his own kindred,,treachery,,"The slaying of Brandub, king of Laigin, by his own kindred in treachery",primary,
U605.2_c2_e0,U605.2,605,slaying,Brandub,,,,,,,Damchluain,,Damchluain,He reigned 30 years in Laigin and was slain in the battle of Damchluain,primary,previous_victim
U605.2_c3_e0,U605.2,605,slaying,Brandub,,,,Sarán Saebderg,,,,,,"or it may have been Sarán Saebderg, i.e. superior of Senboth Sine, who killed him, as the poet said",alternative,previous_victim
U605.4_c0_e0,U605.4,605,death,Laisrén,,,Laisrén,,,,,,,"Death of Laisrén, abbot of Ía",primary,
U606.1_c0_e0,U606.1,606,repose,Beóguin,,,Beóguin,,,,,,,"Repose of Beóguin, abbot of Bennchor",primary,
U606.2_c0_e0,U606.2,606,death,Aedán,Gabrán,Domangart,Aedán | Gabrán | Domangart,,,,,,,"Death of Aedán son of Gabrán son of Domangart, king of Albu,",primary,
U606.2_c1_e0,U606.2,606,slaying,the sons of Baetán,,,the sons of Baetán,,,,,,,and the slaying of the sons of Baetán i.e. son of Cairell,primary,
U608.1_c0_e0,U608.1,608,death,Fiachna Crach,Baetán,,Fiachna Crach | Baetán,the Cruithin,the Cruithin,,,,,"Death of Fiachna Crach son of Baetán, by the Cruithin, and repose of Aed son of Dall",primary,
