source_id,source_label,source_type,relation,target_id,target_label,target_type,event_id,entry_id,year,event_type,evidence
year_600,600 CE,Year,has_event,event_U600.1_c0_e0,repose U600.1,Event,U600.1_c0_e0,U600.1,600,repose,"Repose of St Cainnech,"
event_U600.1_c0_e0,repose U600.1,Event,victim,person_st_cainnech,Cainnech,Person,U600.1_c0_e0,U600.1,600,repose,"Repose of St Cainnech,"
event_U600.1_c0_e0,repose U600.1,Event,supported_by,evidence_U600.1,Evidence U600.1,Evidence,U600.1_c0_e0,U600.1,600,repose,"Repose of St Cainnech,"
year_600,600 CE,Year,has_event,event_U600.1_c1_e0,battle U600.1,Event,U600.1_c1_e0,U600.1,600,battle,and the battle of the Saxons in which Aedán was vanquished
event_U600.1_c1_e0,battle U600.1,Event,supported_by,evidence_U600.1,Evidence U600.1,Evidence,U600.1_c1_e0,U600.1,600,battle,and the battle of the Saxons in which Aedán was vanquished
year_600,600 CE,Year,has_event,event_U600.2_c0_e0,slaying U600.2,Event,U600.2_c0_e0,U600.2,600,slaying,"The slaying of Suibne son of Colmán Mór son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Aed Sláine in Brí Dam in the Suaine, i.e. a stream"
event_U600.2_c0_e0,slaying U600.2,Event,victim,person_suibne_son_of_colman_mor_son_of_diarmait_derg,Suibne,Person,U600.2_c0_e0,U600.2,600,slaying,"The slaying of Suibne son of Colmán Mór son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Aed Sláine in Brí Dam in the Suaine, i.e. a stream"
person_aed_slaine,Aed Sláine,Person,agent_in,event_U600.2_c0_e0,slaying U600.2,Event,U600.2_c0_e0,U600.2,600,slaying,"The slaying of Suibne son of Colmán Mór son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Aed Sláine in Brí Dam in the Suaine, i.e. a stream"
person_aed_slaine,Aed Sláine,Person,killed,person_suibne_son_of_colman_mor_son_of_diarmait_derg,Suibne,Person,U600.2_c0_e0,U600.2,600,slaying,"The slaying of Suibne son of Colmán Mór son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Aed Sláine in Brí Dam in the Suaine, i.e. a stream"
event_U600.2_c0_e0,slaying U600.2,Event,occurred_at,place_bri_dam_in_the_suaine,Brí Dam in the Suaine,Place,U600.2_c0_e0,U600.2,600,slaying,"The slaying of Suibne son of Colmán Mór son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Aed Sláine in Brí Dam in the Suaine, i.e. a stream"
event_U600.2_c0_e0,slaying U600.2,Event,supported_by,evidence_U600.2,Evidence U600.2,Evidence,U600.2_c0_e0,U600.2,600,slaying,"The slaying of Suibne son of Colmán Mór son of Diarmait Derg son of Fergus Cerrbél son of Conall of Cremthann son of Niall Naígiallach by Aed Sláine in Brí Dam in the Suaine, i.e. a stream"
year_601,601 CE,Year,has_event,event_U601.2_c0_e0,death U601.2,Event,U601.2_c0_e0,U601.2,601,death,Death of Brénainn son of Cairpre son of Feichéne
event_U601.2_c0_e0,death U601.2,Event,victim,person_brenainn_son_of_cairpre_son_of_feichene,Brénainn,Person,U601.2_c0_e0,U601.2,601,death,Death of Brénainn son of Cairpre son of Feichéne
event_U601.2_c0_e0,death U601.2,Event,supported_by,evidence_U601.2,Evidence U601.2,Evidence,U601.2_c0_e0,U601.2,601,death,Death of Brénainn son of Cairpre son of Feichéne
year_601,601 CE,Year,has_event,event_U601.3_c1_e0,battle U601.3,Event,U601.3_c1_e0,U601.3,601,battle,The battle of Slemain
event_U601.3_c1_e0,battle U601.3,Event,supported_by,evidence_U601.3,Evidence U601.3,Evidence,U601.3_c1_e0,U601.3,601,battle,The battle of Slemain
year_601,601 CE,Year,has_event,event_U601.3_c2_e0,battle U601.3,Event,U601.3_c2_e0,U601.3,601,battle,and the battle of Cúil Caíl
event_U601.3_c2_e0,battle U601.3,Event,supported_by,evidence_U601.3,Evidence U601.3,Evidence,U601.3_c2_e0,U601.3,601,battle,and the battle of Cúil Caíl
year_601,601 CE,Year,has_event,event_U601.3_c3_e0,repose U601.3,Event,U601.3_c3_e0,U601.3,601,repose,"and the repose of Comgall,"
event_U601.3_c3_e0,repose U601.3,Event,victim,person_comgall,Comgall,Person,U601.3_c3_e0,U601.3,601,repose,"and the repose of Comgall,"
event_U601.3_c3_e0,repose U601.3,Event,supported_by,evidence_U601.3,Evidence U601.3,Evidence,U601.3_c3_e0,U601.3,601,repose,"and the repose of Comgall,"
year_601,601 CE,Year,has_event,event_U601.3_c4_e0,death U601.3,Event,U601.3_c4_e0,U601.3,601,death,and the death of Uatu son of Aed happened this year
event_U601.3_c4_e0,death U601.3,Event,victim,person_uatu_son_of_aed,Uatu,Person,U601.3_c4_e0,U601.3,601,death,and the death of Uatu son of Aed happened this year
event_U601.3_c4_e0,death U601.3,Event,supported_by,evidence_U601.3,Evidence U601.3,Evidence,U601.3_c4_e0,U601.3,601,death,and the death of Uatu son of Aed happened this year
year_601,601 CE,Year,has_event,event_U601.4_c0_e0,repose U601.4,Event,U601.4_c0_e0,U601.4,601,repose,"Or this year, the repose of Colum Cille on Sunday night"
event_U601.4_c0_e0,repose U601.4,Event,victim,person_colum_cille,Colum Cille,Person,U601.4_c0_e0,U601.4,601,repose,"Or this year, the repose of Colum Cille on Sunday night"
event_U601.4_c0_e0,repose U601.4,Event,supported_by,evidence_U601.4,Evidence U601.4,Evidence,U601.4_c0_e0,U601.4,601,repose,"Or this year, the repose of Colum Cille on Sunday night"
year_602,602 CE,Year,has_event,event_U602.1_c0_e0,repose U602.1,Event,U602.1_c0_e0,U602.1,602,repose,Repose of Comgall of Bennchor
event_U602.1_c0_e0,repose U602.1,Event,victim,person_comgall_of_bennchor,Comgall of Bennchor,Person,U602.1_c0_e0,U602.1,602,repose,Repose of Comgall of Bennchor
event_U602.1_c0_e0,repose U602.1,Event,supported_by,evidence_U602.1,Evidence U602.1,Evidence,U602.1_c0_e0,U602.1,602,repose,Repose of Comgall of Bennchor
year_602,602 CE,Year,has_event,event_U602.2_c0_e0,battle U602.2,Event,U602.2_c0_e0,U602.2,602,battle,"The battle of Slemain in which Colmán Rímid, king of Cenél nÉogain, was victor, and Conall Cú, son of Aed son of Ainmire, took flight or escaped by flight"
event_U602.2_c0_e0,battle U602.2,Event,supported_by,evidence_U602.2,Evidence U602.2,Evidence,U602.2_c0_e0,U602.2,602,battle,"The battle of Slemain in which Colmán Rímid, king of Cenél nÉogain, was victor, and Conall Cú, son of Aed son of Ainmire, took flight or escaped by flight"
year_602,602 CE,Year,has_event,event_U602.3_c0_e0,battle U602.3,Event,U602.3_c0_e0,U602.3,602,battle,The battle of Cúil Caíl in which Fiachna son of Demán took flight
event_U602.3_c0_e0,battle U602.3,Event,supported_by,evidence_U602.3,Evidence U602.3,Evidence,U602.3_c0_e0,U602.3,602,battle,The battle of Cúil Caíl in which Fiachna son of Demán took flight
year_602,602 CE,Year,has_event,event_U602.4_c0_e0,death U602.4,Event,U602.4_c0_e0,U602.4,602,death,Death of Uatu son of Aed
event_U602.4_c0_e0,death U602.4,Event,victim,person_uatu_son_of_aed,Uatu,Person,U602.4_c0_e0,U602.4,602,death,Death of Uatu son of Aed
event_U602.4_c0_e0,death U602.4,Event,supported_by,evidence_U602.4,Evidence U602.4,Evidence,U602.4_c0_e0,U602.4,602,death,Death of Uatu son of Aed
year_602,602 CE,Year,has_event,event_U602.5_c0_e0,battle U602.5,Event,U602.5_c0_e0,U602.5,602,battle,The battle of Echros
event_U602.5_c0_e0,battle U602.5,Event,supported_by,evidence_U602.5,Evidence U602.5,Evidence,U602.5_c0_e0,U602.5,602,battle,The battle of Echros
year_603,603 CE,Year,has_event,event_U603.1_c0_e0,repose U603.1,Event,U603.1_c0_e0,U603.1,603,repose,Repose of Finntan moccu Echdach
event_U603.1_c0_e0,repose U603.1,Event,victim,person_finntan_moccu_echdach,Finntan moccu Echdach,Person,U603.1_c0_e0,U603.1,603,repose,Repose of Finntan moccu Echdach
event_U603.1_c0_e0,repose U603.1,Event,supported_by,evidence_U603.1,Evidence U603.1,Evidence,U603.1_c0_e0,U603.1,603,repose,Repose of Finntan moccu Echdach
year_603,603 CE,Year,has_event,event_U603.2_c0_e0,battle U603.2,Event,U603.2_c0_e0,U603.2,603,battle,The battle of Echros in Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce
event_U603.2_c0_e0,battle U603.2,Event,occurred_at,place_muiresc,Muiresc,Place,U603.2_c0_e0,U603.2,603,battle,The battle of Echros in Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce
event_U603.2_c0_e0,battle U603.2,Event,supported_by,evidence_U603.2,Evidence U603.2,Evidence,U603.2_c0_e0,U603.2,603,battle,The battle of Echros in Muiresc between Cenél Cairpri and Uí Fhiachrach Muirsce
year_603,603 CE,Year,has_event,event_U603.5_c0_e0,battle U603.5,Event,U603.5_c0_e0,U603.5,603,battle,The battle of Sliab Cua in Mumu
event_U603.5_c0_e0,battle U603.5,Event,occurred_at,place_mumu,Mumu,Place,U603.5_c0_e0,U603.5,603,battle,The battle of Sliab Cua in Mumu
event_U603.5_c0_e0,battle U603.5,Event,supported_by,evidence_U603.5,Evidence U603.5,Evidence,U603.5_c0_e0,U603.5,603,battle,The battle of Sliab Cua in Mumu
year_604,604 CE,Year,has_event,event_U604.1_c0_e0,slaying U604.1,Event,U604.1_c0_e0,U604.1,604,slaying,The slaying of Colmán Rímid son of Baetán Bríge son of Muirchertach Mac Erca by a man of his own kindred i.e. by one of his kindred called Lochán Dilmana
event_U604.1_c0_e0,slaying U604.1,Event,victim,person_colman_rimid_son_of_baetan_brige_son_of_muirchertach_mac_erca,Colmán Rímid,Person,U604.1_c0_e0,U604.1,604,slaying,The slaying of Colmán Rímid son of Baetán Bríge son of Muirchertach Mac Erca by a man of his own kindred i.e. by one of his kindred called Lochán Dilmana
